64 3 
0.000 0.000 0.000 
0.000 0.000 0.333 
0.000 0.000 0.666 
0.000 0.000 0.999 
0.000 0.333 0.000 
0.000 0.333 0.333 
0.000 0.333 0.666 
0.000 0.333 0.999 
0.000 0.666 0.000 
0.000 0.666 0.333 
0.000 0.666 0.666 
0.000 0.666 0.999 
0.000 0.999 0.000 
0.000 0.999 0.333 
0.000 0.999 0.666 
0.000 0.999 0.999 
0.333 0.000 0.000 
0.333 0.000 0.333 
0.333 0.000 0.666 
0.333 0.000 0.999 
0.333 0.333 0.000 
0.333 0.333 0.333 
0.333 0.333 0.666 
0.333 0.333 0.999 
0.333 0.666 0.000 
0.333 0.666 0.333 
0.333 0.666 0.666 
0.333 0.666 0.999 
0.333 0.999 0.000 
0.333 0.999 0.333 
0.333 0.999 0.666 
0.333 0.999 0.999 
0.666 0.000 0.000 
0.666 0.000 0.333 
0.666 0.000 0.666 
0.666 0.000 0.999 
0.666 0.333 0.000 
0.666 0.333 0.333 
0.666 0.333 0.666 
0.666 0.333 0.999 
0.666 0.666 0.000 
0.666 0.666 0.333 
0.666 0.666 0.666 
0.666 0.666 0.999 
0.666 0.999 0.000 
0.666 0.999 0.333 
0.666 0.999 0.666 
0.666 0.999 0.999 
0.999 0.000 0.000 
0.999 0.000 0.333 
0.999 0.000 0.666 
0.999 0.000 0.999 
0.999 0.333 0.000 
0.999 0.333 0.333 
0.999 0.333 0.666 
0.999 0.333 0.999 
0.999 0.666 0.000 
0.999 0.666 0.333 
0.999 0.666 0.666 
0.999 0.666 0.999 
0.999 0.999 0.000 
0.999 0.999 0.333 
0.999 0.999 0.666 
0.999 0.999 0.999 
